ano,trimestre,categoria,tipo,instituicao,indice,reclamacoes_procedentes,reclamacoes_total,total_clientes
2020,2º,Menos de quatro milhões de clientes,Conglomerado,AGIBANK (conglomerado),61.19,67.0,391.0,1094818.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,3.0,373794.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,ALFA (conglomerado),,12.0,82.0,412199.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,"AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,1.0,5.0,8250.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,ANDBANK (conglomerado),,0.0,3.0,3991.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,11.0,25.0,1221120.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO ARBI S.A.,,1.0,2.0,12624.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO CNH INDUSTRIAL CAPITAL S.A.,,1.0,6.0,26121.0
2020,2º,Mais de quatro milhões de clientes,Banco/financeira,BANCO CSF S.A.,16.59,122.0,387.0,7350474.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DA AMAZONIA S.A.,,2.0,19.0,508852.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DE LA NACION ARGENTINA,,1.0,1.0,226.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DE LAGE LANDEN BRASIL S.A.,,0.0,2.0,35889.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DIGIMAIS S.A.,340.24,83.0,154.0,243941.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DIGIO S.A.,19.03,26.0,151.0,1366248.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DO ESTADO DE SERGIPE S.A.,,7.0,64.0,879777.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DO ESTADO DO PARÁ S.A.,19.41,15.0,59.0,772617.0
2020,2º,Mais de quatro milhões de clientes,Banco/financeira,BANCO DO NORDESTE DO BRASIL S.A.,0.86,7.0,74.0,8061030.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO FIBRA S.A.,,0.0,2.0,163909.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO FICSA S.A.,,4.0,4.0,38706.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO FORD S.A.,,1.0,4.0,402.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO INBURSA S.A.,,1.0,3.0,11904.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO JOHN DEERE S.A.,,0.0,1.0,14489.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO LUSO BRASILEIRO S.A.,,0.0,1.0,10297.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO MONEO S.A.,,1.0,1.0,1234.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO OURINVEST S.A.,,0.0,1.0,38281.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO RIBEIRAO PRETO S.A.,,1.0,2.0,4865.0
2020,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO SEMEAR S.A.,,0.0,7.0,255199.0
