ano,trimestre,instituicao,irregularidade,reclamacoes_procedentes,reclamacoes_total
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Concessão de crédito (exceto consignado) sem a formalização do título adequado,1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Descumprimento contratual,0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Descumprimento de ordem judicial,0.0,2.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Débito em conta de depósito não autorizado pelo cliente,3.0,6.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,1.0,7.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Insatisfação com o atendimento prestado por agências,0.0,3.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades envolvendo a abertura de conta-salário,1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades no processo de encerramento de conta de depósitos à vista,0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades relacionadas a cédulas ou moedas,1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades relacionadas a registros no Cadastro de Emitentes de Cheques sem Fundos (CCF),0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades relacionadas ao atendimento da Ouvidoria,1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito,0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado,0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,"Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário",1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito,1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,"Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada",2.0,2.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito",1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATMe serviços",1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada,3.0,4.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Prestação de serviço de forma irregular em conta-salário,1.0,3.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Recusa de cancelamento de pacote de serviços,4.0,5.0
